l3_code,l3_name,l3_domain,l1_code,vn_id,vn_name,vn_composition,vn_physical_form,vn_start_point,vn_end_point,m_anchor,kpi_anchor,attr1_business_position,attr2_value_property,attr3_physical_existence,attr4_data_validation,gate1_data_linked,gate2_grounded,gate3_traceable,overall_judgment,is_fused,priority,notes
L3-IMF,保司市场反馈与数据回流,INS,L1-01,VN-INS-06,保司报告,《保司报告》,Word/PDF报告 · docx/pdf,FCT_POLICY/FCT_SALES_ACTIVITY业绩数据 + 保司市场数据,交付保司,M2 KPI报表; M6 业务渗透,保司报告按时产出率、报告数据完整率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,定期交付给保司（外部）的市场反馈报告 | VS-01批次7(2026-05-28)Mark确认: 保司反馈实际存在(周期性); 岗位=业务团队/Mark
L3-IMF,保司市场反馈与数据回流,INS,L1-01,VN-INS-07,调整建议书,《调整建议书》,Word/PDF报告 · docx/pdf,保司报告 + 保司反馈记录 + 内部策略分析,对接L1-01 + 输入L3-IRR,M4 业务与市场渗透; M7 产品策略与团队治理,调整建议书闭环率、建议采纳率,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,True,P1,流程终点交付物，对接战略层并输入续约决策流程 | VS-01批次7(2026-05-28)Mark确认: 调整建议书待建设; 岗位=业务团队/Mark
L3-IRR,保司绩效评估与续约决策,INS,L1-01,VN-INS-08,新合同/终止协议,新合同/终止协议,PDF签署版法律文件,联合评估结论双方认可,合同管理系统归档,M7 产品策略与团队治理; M8 财务结算,协议签署及时率、协议合规审批率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,"续约/终止流程终点的法律文件 | VS-01批次7(2026-05-28)Mark确认: 新合同/终止协议待建设[5/28快照]; 岗位=Mark/业务团队; Mark确认(2026-08-04):签署件已真实存在并在用,维持PASS,5/28待建状态已过期"
L3-IRR,保司绩效评估与续约决策,INS,L1-01,VN-INS-09,联合评估结论,《联合评估结论》,签字版评估文件 · pdf,周期总结 + 流失预警 + 内部评估,《联合评估结论》[双方签字存档版],M4 业务与市场渗透; M7 产品策略与团队治理,联合评估完成率、评估结论执行率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,"双方签字确认的评估结论，续约/终止决策依据 | VS-01批次7(2026-05-28)Mark确认: 联合评估结论待建设[5/28快照]; 岗位=Mark/业务团队; Mark确认(2026-08-04):签署件已真实存在并在用,维持PASS,5/28待建状态已过期"
L3-IRR,保司绩效评估与续约决策,INS,L1-01,VN-INS-10,周期总结报告,《周期总结报告》,Excel/PPT报告 · xlsx/pptx,FCT_POLICY/FCT_SALES_ACTIVITY合作周期业绩数据,《周期总结报告》[与保司共享版],M6 业务渗透; M8 财务结算,周期报告按时产出率、总结结论闭环率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,与保司共享的合作周期业绩总结报告 | VS-01批次7(2026-05-28)Mark确认: 周期总结报告实际存在(业绩报表形式); 岗位=Mark/业务团队
L3-JOPD,联合运营项目交付,JD,L1-04,VN-JOPD-01,联合运营项目交付完成包,《联合运营项目启动确认单》+《联合运营业务方案与市场分析报告》+《系统与品牌物料就绪确认包》+《人力资源就绪包》+《知识资产交付包》,文档/系统配置记录/截图/到岗确认/知识库清单,联合运营项目签约/立项决策完成,项目团队、系统、品牌、人力、知识资产全部就绪，可正式开展销售运营,M3 NGP; M4 业务与市场渗透,项目交付周期、交付完成率、各模块就绪率、销售启动周期,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,"2026-06-24 新增：由 L3-JOTM, L3-THBOB, L3-HRD, L3-SKM, L3-SDSA 合并而成；流程尚未实际执行，初步评估待业务方确认"
L3-KAEM,KA赋能,KA,L1-04,VN-KAEM-01,KA培训完成记录,《培训签到表》+ 《培训内容纪要》,Excel/邮件记录（无标准化模板）,KA培训需求提出,记录归档,M1 中台运营; M4 业务与市场渗透,培训覆盖率、培训满意度,PASS,PARTIAL,PASS,PARTIAL,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次7确认：无标准化培训模板和记录；统一研讨会可能无单独记录；单独培训存在但无标准纪要；需建立《KA培训标准模板》【批次8-MoMo补充】培训一般都是同行发起的，很少KA发起（KA没单就没需求）；明德提了需求就上权益；权益部调度杜永平负责。系统不行，纯手工操作：MoMo和马原媛沟通→传给杜永平记一下。
L3-KAEM,KA赋能,KA,L1-04,VN-KAEM-02,KA资讯发放核销记录,《资讯配置清单》+ RW系统核销记录,RW权益系统数据记录 + Excel台账,资讯配置（50篇文章）,RW系统核销,M1 中台运营; M5 AI自动化,资讯发放率、资讯阅读率（目前收到即算）,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,FAIL,FAIL,True,P1,批次7确认：RW权益系统配置50篇文章后直接发出；理财师收到即算核销（无需阅读）；核销形式化导致效果无法衡量；需优化为阅读后核销（点击阅读+停留30秒）【批次8-MoMo补充】系统不行，纯手工操作：MoMo和马原媛沟通→传给杜永平记一下；人手算权益激励金然后修正数据；资讯核销也是形式化（收到即算）。
L3-KAET,KA评估定级,KA,L1-03,VN-KAET-01,KA评估定级记录,《KA评估定级记录》模板（评估维度：出单量/持续性/团队规模/合作意愿/历史背景）,Excel模板（待建设）· 当前无定级体系（仅推进/暂缓两态），由MoMo根据合规要求和经验判断,KA线索接入,资源分配策略制定,M1 中台运营; M4 业务与市场渗透; M7 产品策略与团队治理,评估覆盖率、定级准确率、资源分配效率,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P1候选,批次8-MoMo+流程蓝图V1.1：无定级体系（仅推进/暂缓两态）；个人就一张权益包不分级；机构分两种。待B-02 Mark裁定
L3-KAGA,KA业绩跟踪与运维,KA,L1-03,VN-KAGA-01,KA业绩汇总,《KA业绩汇总》报告（件数/保费/产品结构/转化率/偏差对比/策略优化）,Excel报表包（待建设）· 当前数据分散在签单系统（个人视角）和MoMo个人大表中，无统一汇总,签单系统数据 + MoMo大表,策略优化输入,M1 中台运营; M2 KPI报表; M4 业务与市场渗透,业绩汇总准确率、偏差对比覆盖率、策略优化闭环率,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P1候选,批次8-MoMo+流程蓝图V1.1：MoMo手上有所有KA业绩情况（大表）；业绩会流于形式，只是看出单，无偏差对比和策略优化。待B-06 Mark裁定
L3-KAOP,KA上架准备,KA,L1-02,VN-KAOP-01,KA上架就绪确认,《KA上架就绪确认》清单（签回状态+系统配置+资料发放+就绪检查）,Excel/ checklist模板（待建设）· 当前无正式上架确认动作，系统配置后置,合同签署完成,正式运营启动,M1 中台运营; M7 产品策略与团队治理,上架完成率、从签约到出单周期,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P1候选,批次8-MoMo+流程蓝图V1.1：系统不行（IT系统完全不行，录单都录不进去）；无展业计划也不监控展业计划。待B-03 Mark裁定
L3-KASC,KA转介合同起草与签订,KA,L1-02,VN-KASC-01,KA合同/协议签署版,《KA转介合同》+ 签章确认,PDF签署版法律文件（合同签回周期1-2个月）,L3-KAOP/KAEM输出（培训完成+产品资料包发放）,合同管理系统归档,M7 产品策略与团队治理,合同签回周期、合同签署率,PASS,PASS,PASS,FAIL,PASS,PARTIAL,FAIL,FAIL,True,P1,批次7确认：合同后置执行（先发培训+资料→约单→同步发合同），签回周期1-2个月；此前先发合同后不出单的经验教训导致流程改为后置；需规范合同签署流程并探索电子签章【批次8-MoMo补充】合同后置的根因为**内商务岗位缺失**，非策略选择。正常应有意向就签合约，但因人员缺失（内商务没有）变成有单了再签。icup交单后才起合约。BD应填画像描述表，很多人不填；若BD无法提供完整画像，中台业务需主动与同行沟通填补缺失信息。
L3-URD,联合运营需求诊断,JD,L1-04,VN-MGA-01,联合运营需求诊断包,《重复机构检查报告》+《数字化成熟度报告》+《商机规模预测》+《战略匹配度评分》+《需求诊断报告》,Word/PDF报告包（五报告合订）,合作伙伴接触意向+机构基础信息,《需求诊断报告》[BD/Mark确认版],M3 NGP; M4 业务与市场渗透,商机转化率、诊断报告交付周期,PASS,PARTIAL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P1熔断,优先建立《需求诊断报告》模板，作为L3-URD闭环终点Z的物理锚点
L3-URF,联合运营资源规整与框架方案设计,JD,L1-04,VN-MGA-02,联合运营框架方案,《联合运营框架方案》+《定制化内容方案设计》（框架+定制双子产物）,Word/PPT方案文件,L3-URD《需求诊断报告》[确认版],《联合运营框架方案》[审核版],M3 NGP; M4 业务与市场渗透,方案审核通过率、方案交付周期,PASS,PASS,PASS,PASS,FAIL,PARTIAL,FAIL,FAIL,True,P1熔断,补齐《定制化内容方案设计》模板；建立方案版本管理机制
L3-UCA,联合运营合约E2E,JD,L1-04,VN-MGA-03,联合运营合约包,《合同草案V1》+《审批节点嵌入配置》+合同/协议文件+已签署合同+《交付物包》（五步全链路）,Word合同+配置文档+PDF签署版+Excel交付清单,L3-URF《联合运营框架方案》[审核版],《已签署合同+交付物包》[双方签署+合规终验版],M3 NGP; M4 业务与市场渗透; M7 产品策略与团队治理,合同签署周期、交付物完整率、合同模板复用率,PASS,PASS,PASS,PASS,FAIL,PARTIAL,FAIL,FAIL,True,P1熔断,合并自L3-UCT+L3-UCS；优先补齐《合同草案V1》和《交付物包》作为闭环锚点
L3-NG,商务谈判与合同制定流程,JD,L1-02,VN-NG-01,同行合作协议/合同终稿,《合同终稿》+ 合同/协议文件,PDF签署版法律文件 + 合同管理系统归档记录,L3-IBRD尽调记录 + 谈判策略,双方签署生效并归档,M7 产品策略与团队治理,合同签署周期、合同签署成功率、合同归档完整率,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P0,2026-06-24 新增：基于调研同行合作需求诊断 VN识别 识别；L3-NG 合同谈判与签署流程 | 2026-06-24 初步评估：合同终稿及签署物理载体明确，但合同后置、签署周期/归档完整率未系统化管理；待业务方（Mark/MoMo）复核确认
L3-COM,佣金全链路管理,PAY,L1-03,VN-PAY-01,市场佣金制作产出包,《季度源头佣金表》+《市场佣金表》(2子产物同闭环),Excel(双子表+源头PDF合订)·xlsx+pdf,保险公司源头佣金PDF/Excel(季度),《市场佣金表(月)》v.final,M0 数理基建; M6 业务渗透; M7 产品策略与团队治理,佣金回收周期(KPI#15)、佣金口径准确率(KPI#16),PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P0,源头PDF录入标准化为P0优先行动 | L4判定(2026-06-03): 现有L4-COM-01~13完全覆盖VN-PAY-01全部7条规则(7Hybrid+0Aug+0Auto); 最高风险=P0-004源头PDF无OCR无验收标准(D1=0分); D4均分0.1为最大瓶颈; 双轨道校验SPOF单点(刘敏然一人执行交叉检验已弱化); 8份SOP待获取; B类7条Gap暂不执行+1条SOP待产出/C类11条挂起(1条已裁定); P1-004公式管理最接近Aug(9分); 无需新增L4，无需修改已有L4定义
L3-COM,佣金全链路管理,PAY,L1-03,VN-PAY-02,佣金实收确认表,《应收佣金核对表》+《实收佣金对账表》(对账孪生),Excel(单文件双sheet+银行回单截图)·xlsx,银行流水CSV + 财务记账凭证 + COM-02产出,《实收佣金对账表》[已对平],M0 数理基建; M8 财务结算,对账差异率(KPI#17)、对账时效(KPI#18),PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PARTIAL,False,P0,银行PDF自动化录入为P0行动
L3-COM,佣金全链路管理,PAY,L1-03,VN-PAY-03,应派清单三件套,《应派给理财师》+《应派给销售员》+《争议留痕表》,Excel(3-sheet合订)·xlsx,VN-PAY-02实收对账确认 + 协议参数(分润比例),《应派清单》[Mark签核版],M0 数理基建; M2 KPI报表; M8 财务结算,应派准确率(KPI#19)、争议关闭周期(KPI#20),PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P0,FIN003-A(2026-05-29): 10条规则100%回填·明确; 执行方式=7全人工+3半自动+0自动; 10张数据表锚定; 最高风险=SPOF单点(蔡依娜无AB角)+IA合规无系统拦截(播出率/同行支付率手工校验); D4外部依赖API化均分0.3为最大瓶颈; 5项优先行动: AB角/IA拦截/商务表API化/续保状态精简/SOP更新; 原备注: 争议留痕结构化为P0行动
L3-COM,佣金全链路管理,PAY,L1-03,VN-PAY-04,转介费派发确认台账,《转介费派发表》+《银行付款回执包》+《IA合规留痕》,Excel + 回执PDF(批量) + IA规则校验日志,VN-PAY-03 应派清单(Mark签核),《派发确认台账》[已对账+合规通过],M0 数理基建; M7 产品策略与团队治理; M8 财务结算,非持牌占比≤50%(IA硬指标)、同行支付≤88%(IA硬指标)、实派时效(KPI#21),PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,True,P0熔断,IA合规硬指标未达标，必须Mark+Carrie联合裁定
L3-COM,佣金全链路管理,PAY,L1-03,VN-PAY-06,理财师综合应派计算清单,《佣金应派》+《服务应派》+《奖金应派》+《股权/分红应派》,Excel(4子表合并)+四类协议附件,VN-PAY-03/05 + 协议库 + 奖金规则,《综合应派清单》[Mark签核+理财师确认],M2 KPI报表; M3 NGP; M7 产品策略与团队治理; M8 财务结算,理财师NPS(KPI#24)、综合应派一次通过率(KPI#25),PASS,PASS,PASS,FAIL,FAIL,PARTIAL,FAIL,FAIL,True,P0,协议参数中心化为P0，数据验证gate未通过触发熔断
L3-SSVA,服务结算与价值核算,EQ,L1-03,VN-PAY-06,理财师综合应派计算清单,《佣金应派》+《服务应派》+《奖金应派》+《股权/分红应派》,Excel(4子表合并)+四类协议附件,VN-PAY-03/05 + 协议库 + 奖金规则,《综合应派清单》[Mark签核+理财师确认],M2 KPI报表; M3 NGP; M7 产品策略与团队治理; M8 财务结算,理财师NPS(KPI#24)、综合应派一次通过率(KPI#25),PASS,PASS,PASS,FAIL,FAIL,PARTIAL,FAIL,FAIL,True,P0,协议参数中心化为P0，数据验证gate未通过触发熔断
L3-EXP,员工报销端到端流程,FIN,L1-03,VN-PAY-08,报销凭证包,《报销申请表》+《电子化凭证》+《审批留痕》,PDF/纸质(现状) → Excel+扫描件(目标),员工提单 + 收据/发票,《报销凭证包》[审批完成+财务出账],M5 AI自动化; M8 财务结算,报销周期(KPI#27)、合规率,PASS,PASS,PASS,FAIL,FAIL,FAIL,PARTIAL,FAIL,True,P1,L3-EXP已于2026-08-04经Mark裁定注册为FIN/L1-03/L2-03.3，VN-PAY-08回归D2主映射；当前Gate仍FAIL，保留需整改
L3-CFM,现金流规划与资金调度管理,FIN,L1-03,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,《体系外资金台账》+《BP V2缺失闭环映射》,⚠ 完全缺失·零物理产物,体系外资金流(37.2M HKD),⚠ 无终点·BP V2无fact表覆盖,M0 数理基建; M3 NGP; M8 财务结算,未定义·建议:体系外资金覆盖率、对账完整度,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,True,P0,调研确认：爱云宝对账之前一年一次，现对2025年账，需跟田总确认后支付26年Q1。已纳入L3-CFM管辖。
L3-RCM,风险管理与合规监控,JD,L1-03,VN-RCM-01,渠道信用评估报告,《渠道信用评估报告》（含信用等级/风险提示）,信用评估报告文档 + 信用等级/风险提示记录,牌照合作伙伴/渠道纳入评估范围,信用等级/风险提示出具并送达 RO,M7 产品策略与团队治理,信用评估覆盖率、评估周期、高风险渠道识别率,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PARTIAL,False,P1,2026-06-25 新增：基于牌照 CO/RO/财务补充信息；L4-RCM-01 实际执行已明确；数据验证待系统化
L3-RCM,风险管理与合规监控,JD,L1-03,VN-RCM-02,抽样保单审计报告终稿,《保单审计报告》+《保单财务审计报告》+《抽样保单审计报告终稿》,审计报告文档 + 财务审计报告 + 合并终稿,牌照累计批核 20 账单,CO 将两份报告合并形成终稿并提交 RO,M7 产品策略与团队治理; M8 财务结算,审计抽样率、审计问题闭环率、财务审计及时率,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PARTIAL,False,P1,2026-06-25 新增：基于牌照 CO/RO/财务补充信息；L4-RCM-02 实际执行已明确；数据验证待系统化
L3-RSJD,经代机构销售业务执行流程,JD,L1-04,VN-RSJD-01,保单销售报告,客户需求分析+产品对比+风险披露+知情同意+计划书确认,保单销售报告/销售确认记录（PDF/Excel/系统记录）,客户财务需求与保险需求确认,客户签署风险披露文件与计划书确认,M6 业务渗透; M7 产品策略与团队治理,风险披露完成率、产品适当性符合率、客户知情同意书签署率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,新增机构销售流程价值节点，4属性/3gate待业务复核
L3-RSJD,经代机构销售业务执行流程,JD,L1-04,VN-RSJD-02,保单合同,保单合同+生效通知+签收回执,保单合同（PDF/纸质）+生效通知+客户签收回执,保单核保完成,客户签收保单合同并回执,M7 产品策略与团队治理; M8 财务结算,保单签收率、保单交付时效、Pending处理时效,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,新增机构销售流程价值节点
L3-RSJD,经代机构销售业务执行流程,JD,L1-04,VN-RSJD-03,审计报告,销售合规审计报告（含回访记录、异常处理、档案保管抽查）,审计报告（PDF/Word）+附件（回访记录、异常台账）,审计批次与样本确定,整改事项输出与闭环跟踪,M0 数理基建; M7 产品策略与团队治理,回访完成率、异常件整改率、档案保管合规率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,新增机构销售流程价值节点，覆盖销售全L4
L3-MIO,市场洞察与机会识别流程,STG,L1-02,VN-SMPS-01,目标市场深度分析报告,市场规模数据（MA-04）+ 竞争分析报告（MA-03）+ 客户旅程图与痛点地图（MA-05）+ 最终洞察结论（MA-06）,结构化分析报告（PDF/Word）+ 知识库归档版本,市场进入项目背景与研究目标确立,报告正式批准并提交决策层,M1 中台运营; M7 产品策略与团队治理,调研覆盖率、洞察报告审批周期、知识库更新及时率,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P0,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-VPV,价值主张设计与验证流程,STG,L1-02,VN-SMPS-02,批准的价值主张文档,价值主张声明（VP-02）+ 可行性评审报告（VP-03）+ 概念测试反馈（VP-04）+ 沟通指南（VP-05）,正式文档（Word/PDF）+ 管理层签批记录,市场深度分析报告提交并获批,管理层正式批准价值主张文档,M7 产品策略与团队治理,概念测试通过率、价值主张批准周期、下游流程引用率,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P0,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-MED,市场进入模式设计流程,STG,L1-02,VN-SMPS-03,业务模型完整方案,渠道策略方案（GTM-01）+ 合作伙伴策略文档（GTM-02）+ 定价策略文档（GTM-03）+ 财务预测模型（GTM-04）+ 业务流程架构图（GTM-05）,综合方案文档（PPT/Word）+ 财务模型Excel + 流程架构图,价值主张文档批准,业务模型完整方案形成并获批,M4 业务与市场渗透; M7 产品策略与团队治理,方案审批周期、定价策略完整率、财务模型准确率,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P0,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-CAS,竞争与获客策略制定流程,STG,L1-02,VN-SMPS-04,客户获取作战地图,竞争应对预案库（CA-01）+ 客户优先级清单（CA-02）+ 核心信息框架（CA-03）+ 市场启动计划（CA-04）+ 销售流程文档（CA-05）,作战地图（PPT/PDF）+ 竞争预案手册 + 销售流程文档,业务模型方案批准,客户获取作战地图整合完成,M4 业务与市场渗透,作战地图覆盖率、销售漏斗转化率、市场启动计划执行率,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P0,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-SRE,战略风险评价流程,STG,L1-03,VN-SMPS-05,正式风险登记册,初步风险清单（RM-01）+ 风险评级矩阵（RM-02）+ 风险应对预案集（RM-03）+ 风险责任人分配（RM-04）,结构化风险登记册（Excel/系统）+ 应对预案文档,策略草案形成（各流程输出物收集完成）,风险登记册正式批准，风险责任人确认,M7 产品策略与团队治理,风险识别覆盖率、高风险应对预案完备率、风险登记册更新及时率,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-KPI,战略目标与绩效体系建立流程,STG,L1-01,VN-SMPS-06,市场进入KPI体系与目标值文档,顶层目标（KPI-01）+ 平衡计分卡框架（KPI-02）+ KPI定义文档（KPI-03）+ 目标值设定文档（KPI-04）+ 各部门承诺书（KPI-05）,KPI字典文档（Word/Excel）+ 系统配置规范 + 承诺书扫描件,公司战略文档确立，策略设计启动,所有部门完成KPI承诺并系统配置完成,M2 KPI报表; M7 产品策略与团队治理,KPI体系覆盖率、目标值达成率、部门承诺书签署率,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P0,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-MEI,市场进入策略整合流程,STG,L1-02,VN-SMPS-07,市场进入策略整合文档,策略要素完整包（ST-01）+ 一致性检验结论（ST-02，待建）+ 最终整合文档（ST-03，待建）,综合策略文档（Word/PDF）+ 关键假设清单,所有上游策略组件（MIO/VPV/MED/CAS/SRE/KPI）完成,策略文档经Mark签批，进入执行阶段,M7 产品策略与团队治理,整合文档审批周期、策略一致性缺陷数、执行团队满意度,PASS,PASS,PARTIAL,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,2026-06-25 新增：基于调研_设计细分_20260624；多个SOP待建、岗位缺位，待Mark裁定
L3-SSVA,服务结算与价值核算,EQ,L1-03,VN-SSVA-01,服务对账单,INVOICE+银行权益活动费对账单+应收实收差异表,Excel/PDF,服务结算对账触发,服务对账单[传递至激励结算],M7 产品策略与团队治理; M8 财务结算,对账准确率（待调研确认）,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,P0,VN重新编码（原VN-PAY-05拆分+PAY-07吸收）
L3-SSVA,服务结算与价值核算,EQ,L1-03,VN-SSVA-02,激励结算单,《激励结算单》,Excel,对账完成后触发,《激励结算单》[传递至付款],M8 财务结算,结算及时率（待调研确认）,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,P0,VN重新编码（原VN-PAY-05拆分，对应L4-SSVA-02激励结算）
L3-URD,联合运营需求诊断,JD,L1-04,VN-URD-01,联合运营需求诊断报告,《重复机构检查报告》+《数字化成熟度报告》+《商机规模预测》+《战略匹配度评分》+《需求诊断报告》,Word/PDF报告包（五报告合订）,L3-IBRD输出《尽职调查执行记录》+《业务目标量化》,《需求诊断报告》[传递至L3-URF框架方案设计],M0 数理基建; M1 中台运营; M4 业务与市场渗透,需求诊断报告完成率、诊断结论落地率,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P1,按流程蓝图规划判断：规模测算（商机规模预测）作为L4-URD-03独立成文，再被L4-URD-05汇总纳入《需求诊断报告》。现状完全缺失，五份报告均无标准模板。【批次8-MoMo补充】联合运营需合作很长一段时间后才能判断，无前置诊断标准；香港老牌（Mark谈深度合作）vs大陆转过来/单买牌/没团队（谈大合约OK）；很多是烟雾弹，业绩大但无把控力；市场环境影响（不合规的钱导致不愿配合）。
L3-URD,联合运营需求诊断,JD,L1-04,VN-URD-02,合规风险评估报告,《合规尽调报告》+《合规风险评估报告》,Word/PDF报告包,合规尽调需求触发,《合规风险评估报告》[传递至后续审批],M7 产品策略与团队治理,合规评估完成率（待调研确认）,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P2,源自L3-UCR合并；由L4-URD-06承接全部能力；合并执行日期2026-07-16
L3-USV,运营服务事项设计与内部验证,MGA,L1-03,VN-USV-01,TOI服务产品验证包,TOI权益项原料池 + 产品卡草案 + 案例证据包 + 验收标准,Excel台账 + 产品卡文档 + 证据包文件夹,TOI权益项候选清单输入,内部验收通过的服务产品包归档（产品卡+证据包+验收标准）,M7 产品策略与团队治理,TOI服务产品包验收通过率,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,FAIL,FAIL,FAIL,True,P1,18个TOI-SKU+6张产品卡+CASE证据包已形成；OB-G7正式源待转绿；2026-07-14新增
L3-USV,运营服务事项设计与内部验证,MGA,L1-03,VN-USV-02,TOI合规准入放行包,OWNER确认表 + Gate状态台账 + 审批留痕 + 外发等级标注,审批表单 + Gate台账Excel + 脱敏交付物,已验证的TOI服务产品包输入,OWNER确认放行的TOI交付物（审批留痕+红线确认+外发等级标注）,M7 产品策略与团队治理,TOI外发放行合规率,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,FAIL,FAIL,FAIL,True,P1,11条合规红线+12项Gate+OWNER确认链；OB-G7正式源待转绿；2026-07-14新增
