L1编码,L3编码,L3名称,L4编码,L4名称,核心交付物,介入类型,是否核心介入点,D1_输入结构化,D2_规则清晰,D3_输出可验,D4_API可达,D5_降级可用,D6_合规可编码,总分,推导Tier,资金安全强制关卡,物理执行类,备注
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-07,营销活动执行,《活动执行报告》,物理执行,是,2,2,2,2,2,2,12,Aug,,是,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-08,营销ROI分析,《ROI报告》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-09,赋能团队保护,《竞业约定》,合规签字,是,2,1,1,2,1,1,8,Hybrid,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-10,跨保司经验复用,《经验库》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-11,场外支持人员招募认证,《场外人员清单》,合规签字,是,2,0,0,0,0,1,3,Human,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-12,销售协同执行,《销售签单记录》,关系谈判,是,2,0,1,2,0,1,6,Hybrid,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-13,销售分佣激励结算,《分佣结算单》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,是,,资金安全强制人工关卡
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-14,赋能深度分级,《深度分级标准》⚠️待建设,战略决策,是,2,0,0,0,0,2,4,Human,,,交付物标注待建设
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-15,培训课程设计与交付,《培训完成报告》,物理执行,是,2,2,2,2,2,2,12,Aug,,是,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-16,培训认证与能力输出,《认证名单》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IBEC,合作伙伴接触与初步沟通流程,L4-IBEC-01,合作意向初步接触,《合作意向初步接触》,关系谈判,是,0,0,1,0,0,1,2,Human,,,
L1-02,L3-IBEC,合作伙伴接触与初步沟通流程,L4-IBEC-02,深度需求诊断,《深度需求诊断报告》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,模板化+阈值修正
L1-02,L3-IBEC,合作伙伴接触与初步沟通流程,L4-IBEC-03,线索管理与信息转介,《转介信息包》,无明显判断成分,否,2,1,2,1,1,1,8,Hybrid,,,模板化+阈值修正
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-01,数据采集与质量校验,《各保司数据集》,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-02,分析模型运行与洞察,《分析结果》,专业审批,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-03,报告生成与合规审查,《保司报告》,合规签字,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-04,报告交付与沟通会议,《保司反馈记录》,关系谈判,是,2,0,1,1,0,1,5,Hybrid,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-05,策略调整闭环,《调整建议书》,组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-06,实时数据接入看板,《实时看板》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-07,定制化报告,《定制报告配置》,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-08,竞品对标脱敏处理,《对标报告》,合规签字,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-09,预测分析,《预测报告》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-10,异常事件紧急通报,《紧急通报》,危机应对,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-11,数据安全与监管合规,《合规记录》,合规签字,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-12,数据反向学习,《反向学习洞察》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IMF,保司市场反馈与数据回流,L4-IMF-13,多保司数据对比授权,《授权清单》,合规签字,是,2,1,2,1,1,0,7,Hybrid,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-01,产品元数据录入配置,《Portfolio分析报告》,专业审批,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-02,佣金政策拆解配置,《Portfolio分析报告》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-03,资源匹配至业务线,《Portfolio分析报告》,组合拍板,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-04,试运行与小范围测试,《Portfolio分析报告》,异常介入,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-05,全面上架与发布,《Portfolio分析报告》,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-06,产品版本管理,《Portfolio分析报告》,专业审批,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-09,产品异常事件处置,《Portfolio分析报告》,危机应对,是,2,1,2,1,2,1,9,Hybrid,,,
L1-02,L3-IPI-ONB,产品上架（拆分后）,L4-IPI-11,产品与权益搭配运营,《Portfolio分析报告》,创意判断,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IPI-OPS,日常运营（拆分后）,L4-IPI-08,Portfolio管理,《Portfolio分析报告》,组合拍板,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IPI-OPS,日常运营（拆分后）,L4-IPI-10,产品跨业务线迁移,《Portfolio分析报告》,跨部门协调,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IPI-OPS,日常运营（拆分后）,L4-IPI-12,业绩数据反馈,《Portfolio分析报告》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IPI-OPS,日常运营（拆分后）,L4-IPI-13,产品客户体验监控,《Portfolio分析报告》,异常介入,是,3,3,2,3,2,2,15,Auto,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-01,权限清单谈判,《权限清单》,关系谈判,是,1,0,0,0,0,1,2,Human,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-02,保司资源盘点,《资源对接清单》,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-03,系统数据团队对接,对接完成报告,跨部门协调,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-04,权限生效与配置,权限生效通知,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-05,整合就绪确认,《整合就绪确认书》,合规签字,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-06,保司IT系统深度对接,《对接技术规范》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRI,保司资源整合与深度对接,L4-IRI-07,保司内部培训与换手,《培训换手记录》,物理执行,是,2,1,2,2,1,1,9,Hybrid,,是,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-01,合作周期数据汇总,《周期总结报告》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-02,内部联合评估,《内部评估结论》,战略决策,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-03,保司联合评估会议,《联合评估结论》,关系谈判,是,1,0,0,0,0,1,2,Human,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-04,续约谈判或终止,新合同/终止协议,关系谈判,是,0,0,0,0,0,1,1,Human,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-05,决议执行与内部沟通,决议通知,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-06,续约前流失预警,《流失预警报告》,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-07,续约条款升级谈判,《升级方案》,关系谈判,是,2,1,1,0,0,1,5,Hybrid,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-08,续约后100天成效,《100天交付清单》,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-09,保司决策层变动应对,《变动应对记录》,危机应对,是,2,0,1,1,0,1,5,Hybrid,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-10,Phase 3升级联动,《升级时机评估》,战略决策,是,1,0,0,0,0,1,2,Human,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-11,终止后资产回收,《回收清单》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-12,终止后关系维护,《机会池维护记录》,关系谈判,是,2,0,1,2,0,1,6,Hybrid,,,
L1-02,L3-IRR,保司绩效评估与续约决策,L4-IRR-13,多年长约战略绑定,《长约方案》,战略决策,是,1,0,0,0,0,1,2,Human,,,
L1-02,L3-JOPD,联合运营项目交付,L4-JOPD-01,项目启动与组织准备,《联合运营项目启动确认单》（含项目团队组建名单、启动会议纪要、组织架构确认书）,组合拍板,是,2,2,2,1,1,1,9,Hybrid,,,
L1-02,L3-JOPD,联合运营项目交付,L4-JOPD-02,业务方案与市场分析,《联合运营业务方案与市场分析报告》（含业务目标、合作模式、市场数据、业绩预测）,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-JOPD,联合运营项目交付,L4-JOPD-03,系统与品牌物料就绪,《系统与品牌物料就绪确认包》（系统配置完成确认单、品牌物料包、LMS培训路径配置）,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-02,L3-JOPD,联合运营项目交付,L4-JOPD-04,人力资源就绪,《人力资源就绪包》（岗位说明书、关键岗位招聘到岗确认、薪酬结构确认、培训完成声明）,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-JOPD,联合运营项目交付,L4-JOPD-05,知识资产交付,《知识资产交付包》（产品资料、一页通、深度研究报告、资讯营销包、培训PPT清单）,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-02,L3-KAEC,获取KA资源,L4-KAEC-01,KA线索接收与信息登记,《KA信息记录》,无明显判断成分,是,1,1,1,1,1,1,6,Hybrid,,,
L1-02,L3-KAEC,获取KA资源,L4-KAEC-02,KA初步筛选与意向确认,《KA初步筛选记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,模板化+阈值修正
L1-02,L3-KAEC,获取KA资源,L4-KAEC-03,KA移交与跟进分配,《KA分配记录》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-02,L3-KAGA,KA业绩跟踪与运维,L4-KAGA-01,定期业绩数据收集,Excel报表包（待建设）。当前数据分散在签单系统（个人视角）和MoMo个人大表中。流程蓝图V1.1确认业绩会流于形式,无明显判断成分,否,2,1,2,2,1,2,10,Aug,,,"治理发现:数据分散,业绩会流于形式"
L1-02,L3-KAGA,KA业绩跟踪与运维,L4-KAGA-02,业绩复盘与问题诊断,Excel报表包（待建设）。当前数据分散在签单系统（个人视角）和MoMo个人大表中。流程蓝图V1.1确认业绩会流于形式,专业审批,是,2,1,2,2,1,2,10,Aug,,,治理发现:数据分散
L1-02,L3-KAGA,KA业绩跟踪与运维,L4-KAGA-03,策略调整与赋能支持,Excel报表包（待建设）。当前数据分散在签单系统（个人视角）和MoMo个人大表中。流程蓝图V1.1确认业绩会流于形式,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-KAGA,KA业绩跟踪与运维,L4-KAGA-04,KA关系维护与长效运营,《KA运营记录》,关系谈判,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-KAOE,陪跑与转化,L4-KAOE-01,陪跑需求分析,《陪跑需求分析报告》,专业审批,是,2,1,2,2,1,2,10,Aug,,,
L1-02,L3-KAOE,陪跑与转化,L4-KAOE-02,陪跑计划制定,《陪跑计划》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-KAOE,陪跑与转化,L4-KAOE-03,陪跑执行与跟进,《陪跑执行记录》,物理执行,是,2,1,2,1,1,1,8,Hybrid,,是,
L1-02,L3-KAOE,陪跑与转化,L4-KAOE-04,业务跟进与复盘,《首单成交记录》,无明显判断成分,是,1,1,1,1,1,1,6,Hybrid,,,
L1-02,L3-KAOP,KA上架准备,L4-KAOP-01,合同签回确认与档案建立,《KA合作档案》,合规签字,是,2,1,2,1,1,1,8,Hybrid,,,旧版人介入点与名称不匹配疑似错位
L1-02,L3-KAOP,KA上架准备,L4-KAOP-02,系统配置与权益包激活,《系统配置记录》,无明显判断成分,否,2,2,2,2,1,2,10,Aug,,,
L1-02,L3-KAOP,KA上架准备,L4-KAOP-03,产品资料包发放确认,《资料发放确认记录》,无明显判断成分,否,2,2,2,2,1,2,10,Aug,,,
L1-02,L3-KAOP,KA上架准备,L4-KAOP-04,上架就绪确认与赋能启动,《KA上架就绪确认》,组合拍板,是,2,2,2,2,1,2,10,Aug,,,
L1-02,L3-RSJD,经代机构销售业务执行流程,L4-RSJD-01,销售执行与客户管理,销售合规审计报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-RSJD,经代机构销售业务执行流程,L4-RSJD-02,财务模型测算,销售合规审计报告,专业审批,是,2,2,2,2,1,2,10,Aug,是,,
L1-02,L3-RSJD,经代机构销售业务执行流程,L4-RSJD-03,内部审核与校准,销售合规审计报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-RSJD,经代机构销售业务执行流程,L4-RSJD-04,方案交付,销售合规审计报告,无明显判断成分,否,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-UCA,联合运营合约E2E,L4-UCS-01,交付物质量与合规性终验,已签署合同,合规签字,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-UCA,联合运营合约E2E,L4-UCS-02,交付包整合与知识转移准备,《交付物包》,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-02,L3-UCA,联合运营合约E2E,L4-UCT-01,动态条款库配置,《合同草案V1》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-UCA,联合运营合约E2E,L4-UCT-02,经代机构审批节点嵌入,《审批节点配置说明》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-UCA,联合运营合约E2E,L4-UCT-03,合同附件准备,合同/协议文件,无明显判断成分,否,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-ASD,经代机构售后服务流程,L4-ASD-01,售后服务执行与质量监控,售后服务质量监控报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-BSRV,经代机构结算与日常运营评估,L4-BSRV-01,日常运营协同,无（过程活动）,跨部门协调,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-BSRV,经代机构结算与日常运营评估,L4-BSRV-02,结算与评估,《机构结算核对台账》（按费用类型：结算服务费/权益费/管理费/合规费/邮箱费）,专业审批,是,2,1,2,1,1,1,8,Hybrid,是,,阈值修正
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-01,人效数据采集与清洗,各类分析报告,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-02,人效分析与对标,各类分析报告,专业审批,是,2,2,2,2,1,1,10,Aug,,,
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-03,人员成本分析,各类分析报告,专业审批,是,2,2,2,2,1,1,10,Aug,,,
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-04,薪酬市场对标分析,各类分析报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-05,人员素质结构盘点,各类分析报告,专业审批,是,2,2,2,2,1,1,10,Aug,,,
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-06,流失率分析与预警,各类分析报告,异常介入,是,2,2,2,2,1,1,10,Aug,,,
L1-04,L3-HRA,人力分析与决策支持流程,L4-HRA-07,人力诊断报告与改善建议,人力资源诊断与改善建议报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-01,定岗定编与岗位设计,岗位编制方案+岗位JD,战略决策/组合拍板,是,1,1,1,1,1,1,6,Hybrid,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-02,招聘选拔与面试评估,劳动合同/offer+系统权限,专业审批,是,2,1,1,1,1,1,7,Hybrid,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-03,入职配置与合同签署,劳动合同/offer+系统权限,合规签字,是,2,2,2,2,1,2,11,Aug,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-04,试用期考核与转正,试用期考核+成长路径方案,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-05,在职培训与发展,试用期考核+成长路径方案,物理执行,是,2,1,2,1,1,1,8,Hybrid,,是,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-06,绩效考核与结果应用,绩效考核结果+结果应用记录,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-07,薪酬激励与发放,薪酬记录+晋升记录+员工档案,合规签字/资金安全,是,2,2,2,2,1,2,11,Aug,是,,资金安全强制人工关卡
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-08,晋升与调岗管理,薪酬记录+晋升记录+员工档案,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-HRM,人员全生命周期管理流程,L4-HRM-09,人员退出与档案归档,薪酬记录+晋升记录+员工档案,合规签字,是,2,2,2,1,1,2,10,Aug,,,
L1-04,L3-KAEM,KA赋能,L4-KAEM-01,KA培训计划制定与执行,《培训记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-KAEM,KA赋能,L4-KAEM-02,提供销售培训,Excel/邮件记录。P1: 批次8确认无标准化模板；系统不行，纯手工操作；培训同行发起多，KA发起少,物理执行,是,2,1,2,1,1,1,8,Hybrid,,是,"治理发现:无标准化模板,纯手工"
L1-04,L3-KAEM,KA赋能,L4-KAEM-03,KA营销资源支持,RW权益系统数据记录 + Excel台账。P1: 批次8确认核销形式化；系统不行，纯手工；MoMo→马原媛→杜永平口头传递；人手算权益激励金然后修正数据；影响签约/开户/赋能全流程,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,治理发现:核销形式化
L1-04,L3-KAEM,KA赋能,L4-KAEM-04,赋能效果评估与持续跟进,《赋能效果评估》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-04,L3-RCM,风险管理与合规监控,L4-RCM-01,渠道信用评估,《渠道信用评估报告》（含信用等级/风险提示）,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-RCM,风险管理与合规监控,L4-RCM-02,合规审计,《保单审计报告》+《保单财务审计报告》+《抽样保单审计报告终稿》,合规签字,是,2,2,2,1,1,2,10,Aug,,,阈值修正
L1-04,L3-URD,联合运营需求诊断,L4-URD-01,业务现状调研与分析,《重复机构检查报告》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-URD,联合运营需求诊断,L4-URD-02,需求初筛,《数字化成熟度报告》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-URD,联合运营需求诊断,L4-URD-03,初步商机规模预测,《商机规模预测》,专业审批,是,2,2,2,2,1,2,11,Aug,,,
L1-04,L3-URD,联合运营需求诊断,L4-URD-04,机构战略匹配度评估,《战略匹配度评分》,战略决策/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-URD,联合运营需求诊断,L4-URD-05,联合运营需求诊断,《重复机构检查报告》+《数字化成熟度报告》+《商机规模预测》+《战略匹配度评分》。P1熔断: 批次8确认联合运营判断需长期合作后才能识别，无前置诊断标准,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-URF,联合运营资源规整与框架方案设计,L4-URF-01,标准化资源库调用,《联合运营框架方案》,无明显判断成分,否,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-04,L3-URF,联合运营资源规整与框架方案设计,L4-URF-02,定制化内容方案设计,《定制化内容方案设计》,创意判断,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-CAS,竞争与获客策略制定流程,L4-CA-01,竞争策略制定,竞争应对预案库,战略决策/创意判断,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-CAS,竞争与获客策略制定流程,L4-CA-02,获客策略制定,客户优先级清单 + 核心信息框架,战略决策,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-CAS,竞争与获客策略制定流程,L4-CA-03,战术整合,客户获取作战地图（主交付物）,组合拍板,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-CDA-SRA,权益客户需求诊断与服务需求分析,L4-CDA-SRA-01,需求收集与初步确认,《权益需求收集表》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-CDA-SRA,权益客户需求诊断与服务需求分析,L4-CDA-SRA-02,内部需求分析,《经确认的客户权益需求清单》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-CDS,权益相关商务合同起草与签订,L4-CDS-01,起草合同要点确认,《起草合同要点确认》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-CDS,权益相关商务合同起草与签订,L4-CDS-02,签署核对与完成,已签权益商务合同/RW协议登记表,合规签字,是,2,2,2,2,1,2,11,Aug,,,阈值修正
L1-05,L3-COB,客户入驻权益服务启动,L4-COB-01,服务项目启动,服务使用规则,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-COB,客户入驻权益服务启动,L4-COB-02,系统与账户初始化,RW权益包配置表,无明显判断成分,否,2,2,2,2,1,2,11,Aug,,,阈值修正
L1-05,L3-COB,客户入驻权益服务启动,L4-COB-03,客户赋能,内训素材；权益包使用规则；服务使用规则,物理执行,是,2,1,2,1,1,1,8,Hybrid,,是,阈值修正
L1-05,L3-CRR,合作伙伴续约管理,L4-CRR-06,续约到期识别,合作伙伴到期审核记录,异常介入,是,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-CRR,合作伙伴续约管理,L4-CRR-07,出单核查与续约资格判定,出单核查结果 + 续签/终止决定,专业审批,是,2,2,2,1,1,1,9,Hybrid,,,
L1-05,L3-CRR,合作伙伴续约管理,L4-CRR-08,续约前流失预警触发与介入,续约前流失预警报告,异常介入,是,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-CRR,合作伙伴续约管理,L4-CRR-09,续签DD重审,DD重审记录（续签专用）,合规签字,是,2,1,2,1,1,2,9,Hybrid,,,
L1-05,L3-CRR,合作伙伴续约管理,L4-CRR-10,续签合同签署,续签合同,合规签字,是,2,2,2,1,1,2,10,Aug,,,
L1-05,L3-CRR,合作伙伴续约管理,L4-CRR-11,合约终止执行,合约终止通知 + 归档记录,专业审批/关系谈判,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-01,业绩数据与分级规则引擎,理财师分级清单,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-02,分级公示与申诉,最终分级清单,异常介入,是,3,2,3,3,2,2,15,Auto,,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-03,权益包配置与兑现,权益兑现记录,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-04,分级与权益效果监控,《分级效果报告》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-05,规则迭代与基本法对齐,规则调整提案,战略决策,是,1,0,0,0,0,2,3,Human,,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-06,新人保底权益,《保底发放记录》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,是,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-07,团队长带团权益,《带团权益记录》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,是,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-08,追溯调整,《追溯调整记录》,异常介入,是,3,3,3,3,2,2,16,Auto,是,,
L1-05,L3-EO,理财师权益分级与绩效监控,L4-EO-09,个性化定制,《个性化配置记录》,创意判断,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-KPI,战略目标与绩效体系建立流程,L4-KPI-01,公司战略解码与顶层目标确认,《顶层目标说明》,战略决策,是,1,1,1,0,0,1,4,Human,,,
L1-05,L3-KPI,战略目标与绩效体系建立流程,L4-KPI-02,平衡计分卡框架设计,《平衡计分卡框架》,战略决策/组合拍板,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-KPI,战略目标与绩效体系建立流程,L4-KPI-03,KPI指标定义与文档化,《KPI定义文档》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-KPI,战略目标与绩效体系建立流程,L4-KPI-04,目标值设定与校准,《目标值设定文档》,专业审批/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-KPI,战略目标与绩效体系建立流程,L4-KPI-05,部门承诺书签署与确认,《各部门承诺书》,合规签字,是,2,2,2,1,1,2,10,Aug,,,
L1-05,L3-KPI,战略目标与绩效体系建立流程,L4-KPI-06,KPI体系系统集成与BI配置,《系统配置规范》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-MED,市场进入模式设计流程,L4-GTM-01,渠道策略设计,渠道策略方案,战略决策,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-MED,市场进入模式设计流程,L4-GTM-02,合作伙伴策略制定,合作伙伴策略文档,战略决策,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-MED,市场进入模式设计流程,L4-GTM-03,定价与收入模式设计,定价策略文档,专业审批,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-MED,市场进入模式设计流程,L4-GTM-04,财务模型与可行性分析,财务预测模型,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-MED,市场进入模式设计流程,L4-GTM-05,运营流程设计,业务流程架构图 + 业务模型完整方案（主交付物）,组合拍板,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-MEI,市场进入策略整合流程,L4-ST-01,策略要素整合,策略要素完整包,组合拍板,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-MEI,市场进入策略整合流程,L4-ST-02,策略一致性检验,一致性检验结论,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
